read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1545
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1550
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1555
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1560
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1565
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1570
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1575
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1580
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1585
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1590
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1595
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1600
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1605
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1610
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1615
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1620
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1625
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1630
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1635
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1640
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1645
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1650
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1655
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1660
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1665
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1670
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1675
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1680
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1685
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1690
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1695
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1700
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1705
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1710
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1715
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1720
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1725
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1730
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1735
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1740
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1745
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1750
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1755
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1760
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1765
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1770
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1775
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1780
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1785
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1790
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1795
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1800
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1805
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1810
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1815
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1820
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1825
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1830
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1835
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1840
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1845
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1850
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1855
