read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 680
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 685
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 690
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 695
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 700
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 705
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 710
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 715
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 720
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 725
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 730
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 735
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 740
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 745
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 750
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 755
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 760
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 765
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 770
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 775
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 780
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 785
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 790
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 795
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 800
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 805
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 810
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 815
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 820
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 825
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 830
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 835
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 840
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 845
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 850
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 855
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 860
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 865
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 870
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 875
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 880
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 885
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 890
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 895
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 900
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 905
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 910
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 915
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 920
0.02 0.00 0.01 0.64 2016-04-15 16:24:51 925
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 930
